Label,Characteristic,Year,Characteristic_code,total_fatal_injuries,total_hours_worked,fatal_injury_rate,margin_of_error
,Accommodation ,2018,721000,46,"2,656",3.5,0.2
Occ,Traveler accommodation ,2018,721100,33,"2,465",2.7,0.2
,Food services and drinking places,2018,722000,129,"15,328",1.7,0
Occ,Restaurants and other food services ,2018,"722000, except 722400",98,"14,927",1.3,0
Occ,Drinking places (alcoholic beverages),2018,722400,31,402,15.4,2.3
Ind,"Other services, except public administration",2018,81,195,"13,627",2.6,0.1
,Repair and maintenance,2018,811000,129,"4,279",6,0.3
Occ,Automotive repair and maintenance (except car washes),2018,"811100, except 811192",88,"2,679",6.5,0.4
Occ,Personal and laundry services,2018,812000,29,"4,570",1.2,0.1
Occ,"Religious, grantmaking, civic, professional, and similar organizations",2018,813000,35,"3,677",1.1,0.1
Ind,Government,2018,no data,471,"39,069",1.8,0
Occ,Federal government,2018,no data,124,"7,211",1.2,0
Occ,State government,2018,no data,69,"13,076",1.1,0
Occ,Local government,2018,no data,276,"18,783",2.7,0.1
